,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,83,port augusta,-32.5,137.7667,89.28,15,0,9.75,AU,1676424579
85,85,port elizabeth,-33.918,25.5701,72.1,88,0,9.22,ZA,1676424580
123,123,vallenar,-28.5708,-70.7581,72.79,60,0,2.71,CL,1676424589
147,147,hobart,-42.8794,147.3294,76.05,47,0,6.91,AU,1676424456
212,212,pathanamthitta,9.2667,76.7833,70.74,63,0,2.42,IN,1676424617
221,221,bogale,16.2833,95.4,74.17,54,0,4.7,MM,1676424619
223,223,ixtapa,20.7,-105.2,72.63,68,0,8.05,MX,1676424620
288,288,te anau,-45.4167,167.7167,72.9,39,0,6.67,NZ,1676424639
320,320,samana,19.2056,-69.3369,73.02,83,0,7.43,DO,1676424648
352,352,bucerias,20.75,-105.3333,73.38,68,0,8.05,MX,1676424557
353,353,ouagadougou,12.3642,-1.5383,75.33,25,0,6.91,BF,1676424657
360,360,sibanicu,21.235,-77.5264,70.25,79,0,8.81,CU,1676424659
365,365,santiago del estero,-27.7951,-64.2615,84.63,59,0,9.66,AR,1676424661
386,386,kavaratti,10.5669,72.642,79.88,75,0,8.19,IN,1676424667
446,446,rioja,-29.4111,-66.8507,84.2,51,0,1.61,AR,1676424688
482,482,maldonado,-34.6667,-54.9167,71.22,79,0,8.48,UY,1676424698
